PROCESSNAME,REFERENCEFLOW,LOCATION,CATEGORY,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5
"MSW landfilling of Bread; LFG recovery and electricity generation, worst-case collection, moderate conditions (k=0.04)","Bread, landfilled",NULL,Moderate conditions (k=0.04),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Phonebooks; LFG recovery and electricity generation, worst-case collection, bioreactor (k=0.12)","Phonebooks, landfilled",NULL,Bioreactor (k=0.12),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Dimensional Lumber; LFG recovery and electricity generation, aggressive collection, moderate conditions (k=0.04)","Dimensional Lumber, landfilled",NULL,Moderate conditions (k=0.04),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Textbooks; LFG recovery and flaring, worst-case collection, wet conditions (k=0.06)","Textbooks, landfilled",NULL,Wet conditions (k=0.06),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Grass; LFG recovery and flaring, worst-case collection, dry conditions (k=0.02)","Grass, landfilled",NULL,Dry conditions (k=0.02),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Bread; LFG recovery and electricity generation, California regulatory collection, dry conditions (k=0.02)","Bread, landfilled",NULL,Dry conditions (k=0.02),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Wood Flooring; LFG recovery and flaring, aggressive collection, wet conditions (k=0.06)","Wood Flooring, landfilled",NULL,Wet conditions (k=0.06),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Yard Trimmings; LFG recovery and flaring, worst-case collection, National average conditions","Yard Trimmings, landfilled",NULL,National Average,Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Wood Flooring; LFG recovery and electricity generation, aggressive collection, dry conditions (k=0.02)","Wood Flooring, landfilled",NULL,Dry conditions (k=0.02),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Office Paper; LFG recovery and flaring, California regulatory collection, bioreactor (k=0.12)","Office Paper, landfilled",NULL,Bioreactor (k=0.12),California regulatory collection,Flaring,LFG recovery,Landfilling
MSW landfilling of Leaves; no LFG recovery,"Leaves, landfilled",NULL,No LFG recovery,Landfilling,NULL,NULL,NULL
"MSW landfilling of Corrugated Containers; LFG recovery and flaring, worst-case collection, dry conditions (k=0.02)","Corrugated Containers, landfilled",NULL,Dry conditions (k=0.02),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Food Waste (non-meat); LFG recovery and flaring, aggressive collection, bioreactor (k=0.12)","Food Waste (non-meat), landfilled",NULL,Bioreactor (k=0.12),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Corrugated Containers; LFG recovery and electricity generation, worst-case collection, dry conditions (k=0.02)","Corrugated Containers, landfilled",NULL,Dry conditions (k=0.02),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Phonebooks; LFG recovery and electricity generation, California regulatory collection, moderate conditions (k=0.04)","Phonebooks, landfilled",NULL,Moderate conditions (k=0.04),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Yard Trimmings; National average LFG recovery, typical collection, National average conditions","Yard Trimmings, landfilled",NULL,National Average,Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Food Waste (non-meat); LFG recovery and flaring, worst-case collection, wet conditions (k=0.06)","Food Waste (non-meat), landfilled",NULL,Wet conditions (k=0.06),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed MSW; LFG recovery and flaring, typical collection, bioreactor (k=0.12)","Mixed MSW, landfilled",NULL,Bioreactor (k=0.12),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Food Waste (non-meat); LFG recovery and electricity generation, typical collection, dry conditions (k=0.02)","Food Waste (non-meat), landfilled",NULL,Dry conditions (k=0.02),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Grass; LFG recovery and electricity generation, California regulatory collection, wet conditions (k=0.06)","Grass, landfilled",NULL,Wet conditions (k=0.06),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Fruits and Vegetables; LFG recovery and flaring, typical collection, wet conditions (k=0.06)","Fruits and Vegetables, landfilled",NULL,Wet conditions (k=0.06),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Leaves; LFG recovery and electricity generation, typical collection, National average conditions","Leaves, landfilled",NULL,National Average,Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Textbooks; LFG recovery and electricity generation, worst-case collection, National average conditions","Textbooks, landfilled",NULL,National Average,Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Textbooks; LFG recovery and electricity generation, California regulatory collection, National average conditions","Textbooks, landfilled",NULL,National Average,California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed MSW; LFG recovery and flaring, California regulatory collection, bioreactor (k=0.12)","Mixed MSW, landfilled",NULL,Bioreactor (k=0.12),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Leaves; LFG recovery and electricity generation, California regulatory collection, wet conditions (k=0.06)","Leaves, landfilled",NULL,Wet conditions (k=0.06),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Office Paper; LFG recovery and flaring, aggressive collection, dry conditions (k=0.02)","Office Paper, landfilled",NULL,Dry conditions (k=0.02),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Dimensional Lumber; LFG recovery and electricity generation, typical collection, dry conditions (k=0.02)","Dimensional Lumber, landfilled",NULL,Dry conditions (k=0.02),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Fruits and Vegetables; LFG recovery and electricity generation, California regulatory collection, dry conditions (k=0.02)","Fruits and Vegetables, landfilled",NULL,Dry conditions (k=0.02),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Dimensional Lumber; LFG recovery and flaring, worst-case collection, moderate conditions (k=0.04)","Dimensional Lumber, landfilled",NULL,Moderate conditions (k=0.04),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Fruits and Vegetables; LFG recovery and electricity generation, typical collection, moderate conditions (k=0.04)","Fruits and Vegetables, landfilled",NULL,Moderate conditions (k=0.04),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Wood Flooring; LFG recovery and flaring, worst-case collection, dry conditions (k=0.02)","Wood Flooring, landfilled",NULL,Dry conditions (k=0.02),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Textbooks; LFG recovery and electricity generation, California regulatory collection, bioreactor (k=0.12)","Textbooks, landfilled",NULL,Bioreactor (k=0.12),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Grass; LFG recovery and flaring, California regulatory collection, National average conditions","Grass, landfilled",NULL,National Average,California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Newspaper; LFG recovery and electricity generation, California regulatory collection, National average conditions","Newspaper, landfilled",NULL,National Average,California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Food Waste (non-meat); LFG recovery and electricity generation, aggressive collection, National average conditions","Food Waste (non-meat), landfilled",NULL,National Average,Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Fruits and Vegetables; LFG recovery and flaring, typical collection, moderate conditions (k=0.04)","Fruits and Vegetables, landfilled",NULL,Moderate conditions (k=0.04),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Medium-density Fiberboard; LFG recovery and electricity generation, typical collection, moderate conditions (k=0.04)","Medium-density Fiberboard, landfilled",NULL,Moderate conditions (k=0.04),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Fruits and Vegetables; LFG recovery and flaring, typical collection, bioreactor (k=0.12)","Fruits and Vegetables, landfilled",NULL,Bioreactor (k=0.12),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Dairy Products; LFG recovery and electricity generation, aggressive collection, National average conditions","Dairy Products, landfilled",NULL,National Average,Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Dimensional Lumber; LFG recovery and flaring, worst-case collection, wet conditions (k=0.06)","Dimensional Lumber, landfilled",NULL,Wet conditions (k=0.06),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Branches; LFG recovery and flaring, aggressive collection, wet conditions (k=0.06)","Branches, landfilled",NULL,Wet conditions (k=0.06),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Office Paper; National average LFG recovery, typical collection, moderate conditions (k=0.04)","Office Paper, landfilled",NULL,Moderate conditions (k=0.04),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Corrugated Containers; LFG recovery and electricity generation, typical collection, bioreactor (k=0.12)","Corrugated Containers, landfilled",NULL,Bioreactor (k=0.12),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Corrugated Containers; LFG recovery and electricity generation, aggressive collection, dry conditions (k=0.02)","Corrugated Containers, landfilled",NULL,Dry conditions (k=0.02),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Dairy Products; LFG recovery and flaring, worst-case collection, bioreactor (k=0.12)","Dairy Products, landfilled",NULL,Bioreactor (k=0.12),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Office Paper; LFG recovery and electricity generation, typical collection, dry conditions (k=0.02)","Office Paper, landfilled",NULL,Dry conditions (k=0.02),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Dimensional Lumber; LFG recovery and flaring, aggressive collection, dry conditions (k=0.02)","Dimensional Lumber, landfilled",NULL,Dry conditions (k=0.02),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Dimensional Lumber; LFG recovery and electricity generation, worst-case collection, bioreactor (k=0.12)","Dimensional Lumber, landfilled",NULL,Bioreactor (k=0.12),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Textbooks; LFG recovery and electricity generation, aggressive collection, moderate conditions (k=0.04)","Textbooks, landfilled",NULL,Moderate conditions (k=0.04),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Dairy Products; LFG recovery and flaring, worst-case collection, moderate conditions (k=0.04)","Dairy Products, landfilled",NULL,Moderate conditions (k=0.04),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Dimensional Lumber; LFG recovery and electricity generation, typical collection, wet conditions (k=0.06)","Dimensional Lumber, landfilled",NULL,Wet conditions (k=0.06),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Food Waste (non-meat); LFG recovery and flaring, typical collection, moderate conditions (k=0.04)","Food Waste (non-meat), landfilled",NULL,Moderate conditions (k=0.04),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Office Paper; LFG recovery and flaring, California regulatory collection, National average conditions","Office Paper, landfilled",NULL,National Average,California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Dimensional Lumber; LFG recovery and electricity generation, worst-case collection, National average conditions","Dimensional Lumber, landfilled",NULL,National Average,Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Newspaper; LFG recovery and electricity generation, typical collection, dry conditions (k=0.02)","Newspaper, landfilled",NULL,Dry conditions (k=0.02),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Wood Flooring; LFG recovery and electricity generation, California regulatory collection, dry conditions (k=0.02)","Wood Flooring, landfilled",NULL,Dry conditions (k=0.02),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Fruits and Vegetables; LFG recovery and flaring, typical collection, dry conditions (k=0.02)","Fruits and Vegetables, landfilled",NULL,Dry conditions (k=0.02),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Office Paper; LFG recovery and flaring, worst-case collection, bioreactor (k=0.12)","Office Paper, landfilled",NULL,Bioreactor (k=0.12),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Branches; LFG recovery and electricity generation, aggressive collection, bioreactor (k=0.12)","Branches, landfilled",NULL,Bioreactor (k=0.12),Aggressive collection,Energy production,LFG recovery,Landfilling
